Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,250m,300m,350m,400m,450m,500m,550m,600m,650m,700m,750m,800m,Event,Round
1,USA,Katie LEDECKY,27,0.68,GOLD,8:11.04,27.63,29.80,30.44,30.84,30.97,31.19,31.18,31.15,31.24,31.34,31.20,31.03,30.90,30.88,30.90,30.35,Womens 800M Freestyle,Finals
2,AUS,Ariarne TITMUS,23,0.73,SILVER,8:12.29,27.77,29.91,30.39,30.90,31.05,31.05,31.30,31.12,31.27,31.26,31.46,31.35,31.46,30.90,31.03,30.07,Womens 800M Freestyle,Finals
3,USA,Paige MADDEN,25,0.72,BRONZE,8:13.00,28.71,30.77,31.28,31.04,31.07,31.10,31.38,31.15,31.17,31.40,30.37,30.63,30.55,30.95,30.83,30.60,Womens 800M Freestyle,Finals
4,ITA,Simona QUADARELLA,25,0.77,FINALIST,8:14.55,29.13,30.56,31.21,30.82,31.34,31.08,31.17,30.98,31.36,31.05,31.11,31.11,31.23,30.79,30.73,30.88,Womens 800M Freestyle,Finals
5,GER,Isabel GOSE,22,0.79,FINALIST,8:17.82,28.88,31.10,31.07,31.39,30.97,31.34,30.99,31.22,31.19,31.39,31.30,31.68,31.45,31.71,31.36,30.78,Womens 800M Freestyle,Finals
6,AUS,Lani PALLISTER,22,0.68,FINALIST,8:21.09,28.23,30.70,31.01,31.13,31.06,31.36,31.34,31.43,31.59,31.70,31.78,31.86,32.14,32.06,32.44,31.26,Womens 800M Freestyle,Finals
7,FRA,Anastasiia KIRPICHNIKOVA,24,0.73,FINALIST,8:22.80,28.58,30.96,31.56,31.28,31.51,31.32,31.64,31.46,31.71,31.65,31.90,31.83,31.97,32.14,32.07,31.22,Womens 800M Freestyle,Finals
8,NZL,Erika FAIRWEATHER,20,0.75,FINALIST,8:23.27,28.48,31.13,31.29,31.47,31.31,31.42,31.32,32.04,31.86,32.57,31.88,32.74,32.07,32.67,31.90,29.12,Womens 800M Freestyle,Finals
