Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,250m,300m,350m,400m,Event,Round
1,USA,Katie LEDECKY,27,0.67,QUALIFIED,4:02.19,27.82,30.05,30.48,30.71,30.91,31.10,30.96,30.16,Womens 400M Freestyle,Heats
2,AUS,Ariarne TITMUS,23,0.72,QUALIFIED,4:02.46,27.43,29.67,30.39,30.67,31.01,31.26,31.60,30.43,Womens 400M Freestyle,Heats
3,NZL,Erika FAIRWEATHER,20,0.74,QUALIFIED,4:02.55,27.67,30.00,30.55,30.89,30.72,31.25,31.03,30.44,Womens 400M Freestyle,Heats
4,CAN,Summer MCINTOSH,17,0.76,QUALIFIED,4:02.65,27.68,30.09,30.74,30.91,30.81,31.25,31.11,30.06,Womens 400M Freestyle,Heats
5,AUS,Jamie Ann PERKINS,19,0.76,QUALIFIED,4:03.30,28.34,30.21,30.65,31.20,31.07,31.26,30.90,29.67,Womens 400M Freestyle,Heats
6,USA,Paige MADDEN,25,0.73,QUALIFIED,4:03.34,28.14,30.03,30.55,30.87,30.95,31.07,31.14,30.59,Womens 400M Freestyle,Heats
7,BRA,Maria Fernanda DE OLIVEIRA DA SILVA COSTA,21,0.70,QUALIFIED,4:03.47,28.20,29.92,30.68,31.18,31.22,31.41,30.81,30.05,Womens 400M Freestyle,Heats
8,GER,Isabel GOSE,22,0.79,QUALIFIED,4:03.83,28.14,30.49,30.44,30.75,30.75,31.16,31.39,30.71,Womens 400M Freestyle,Heats
