Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,250m,300m,350m,400m,Event,Round
1,GER,Lukas MARTENS,22,0.69,3:41.78,,24.84,27.17,28.13,28.26,28.25,28.61,28.27,28.25,Mens 400M Freestyle,Heats
2,AUS,Elijah WINNINGTON,24,0.67,3:42.21,,25.21,27.57,28.03,28.37,28.70,28.56,28.44,27.33,Mens 400M Freestyle,Heats
3,KOR,Woomin KIM,22,0.62,3:42.50,,25.00,27.50,27.86,28.35,28.39,28.77,28.49,28.14,Mens 400M Freestyle,Heats
4,AUS,Samuel SHORT,20,0.64,3:42.64,,25.72,27.62,27.80,28.27,28.30,28.51,28.59,27.83,Mens 400M Freestyle,Heats
5,BRA,Guilherme COSTA,25,0.70,3:42.76,,25.57,28.04,28.21,28.43,28.66,28.36,28.18,27.31,Mens 400M Freestyle,Heats
6,CHN,Liwei FEI,21,0.66,3:44.24,,25.62,27.61,28.46,28.60,28.88,28.79,28.37,27.91,Mens 400M Freestyle,Heats
7,GER,Oliver KLEMET,22,0.68,3:46.59,,26.31,28.01,28.33,28.57,28.69,29.02,28.97,28.69,Mens 400M Freestyle,Heats
8,USA,Aaron SHACKELL,19,0.67,3:47.00,,25.73,28.08,28.92,28.93,28.92,29.13,29.20,28.09,Mens 400M Freestyle,Heats
