Place,Country,Name,Age,RT,Status,Time,50m,100m,150m,200m,Event,Round
1,FRA,Leon MARCHAND,22,0.62,QUALIFIED,1900-01-01 00:01:53.500,24.82,28.35,29.68,30.65,Mens 200M Butterfly,Semifinals
2,CAN,Ilya KHARUN,19,0.64,QUALIFIED,1900-01-01 00:01:54.010,25.15,28.83,30.18,29.85,Mens 200M Butterfly,Semifinals
3,EST,Kregor ZIRK,25,0.62,QUALIFIED,1900-01-01 00:01:54.220,25.14,28.66,29.78,30.64,Mens 200M Butterfly,Semifinals
4,ITA,Alberto RAZZETTI,25,0.61,QUALIFIED,1900-01-01 00:01:54.510,25.30,28.96,29.70,30.55,Mens 200M Butterfly,Semifinals
5,TPE,Kuan-Hung WANG,22,0.61,QUALIFIED,1900-01-01 00:01:55.070,25.60,28.83,29.89,30.75,Mens 200M Butterfly,Semifinals
6,ITA,Giacomo CARINI,27,0.61,QUALIFIED,1900-01-01 00:01:55.200,25.29,29.04,30.14,30.73,Mens 200M Butterfly,Semifinals
7,HUN,Richard MARTON,24,0.60,QUALIFIED,1900-01-01 00:01:55.930,24.92,29.02,30.18,31.81,Mens 200M Butterfly,Semifinals
8,ESP,Arbidel GONZALEZ,21,0.68,QUALIFIED,1900-01-01 00:01:56.260,25.98,29.56,29.33,31.39,Mens 200M Butterfly,Semifinals
