Place,Country,Name,Age,RT,Status,Time,Event,Round
1,AUS,Cameron MCEVOY,30,0.56,GOLD,21.25,Mens 50M Freestyle,Finals
2,GBR,Benjamin PROUD,29,0.59,SILVER,21.30,Mens 50M Freestyle,Finals
3,FRA,Florent MANAUDOU,33,0.63,BRONZE,21.56,Mens 50M Freestyle,Finals
4,CAN,Josh LIENDO,21,0.64,FINALIST,21.58,Mens 50M Freestyle,Finals
5,GRE,Kristian GKOLOMEEV,31,0.63,FINALIST,21.59,Mens 50M Freestyle,Finals
6,USA,Caeleb DRESSEL,27,0.63,FINALIST,21.61,Mens 50M Freestyle,Finals
7,ITA,Leonardo DEPLANO,25,0.66,FINALIST,21.62,Mens 50M Freestyle,Finals
8,CAY,Jordan CROOKS,22,0.63,FINALIST,21.64,Mens 50M Freestyle,Finals
