Country Code,Full Name,First Name,Last Name,Age,Event
MHL,Kayla HEPLER,Kayla,HEPLER,22,Women50Free
MLI,Aichata DIABATE,Aichata,DIABATE,18,Women50Free
MNE,Jovana KULJACA,Jovana,KULJACA,20,Women50Free
NED,Kim BUSCH,Kim,BUSCH,26,Women50Free
NED,Valerie VAN ROON,Valerie,VAN ROON,25,Women50Free
NGR,Adaku NWANDU,Adaku Nkem,NWANDU,16,Women50Free
NIG,Salima AHMADOU YOUSSOUFOU,Salima,AHMADOU YOUSSOUFOU,20,Women50Free
PLW,Yuri HOSEI,Yuri,HOSEI,19,Women50Free
PNG,Georgia-Leigh VELE,Georgia-Leigh,VELE,25,Women50Free
POL,Kornelia FIEDKIEWICZ,Kornelia,FIEDKIEWICZ,22,Women50Free
POL,Katarzyna WASICK,Katarzyna,WASICK,32,Women50Free
RWA,Lidwine UMUHOZA UWASE,Lidwine,UMUHOZA UWASE,25,Women50Free
SAM,Kaiya BROWN,Kaiya,BROWN,20,Women50Free
SEY,Khema ELIZABETH,Khema,ELIZABETH,19,Women50Free
SLE,Olamide SAM,Olamide,SAM,24,Women50Free
SLO,Neza KLANCAR,Neza,KLANCAR,24,Women50Free
SUR,Kaelyn Ciara Suryanti DJOPARTO,Kaelyn Ciara Suryanti,DJOPARTO,18,Women50Free
SWE,Michelle COLEMAN,Michelle,COLEMAN,30,Women50Free
SWE,Sarah SJOESTROEM,Sarah,SJOESTROEM,30,Women50Free
TAN,Sophia LATIFF,Sophia,LATIFF,17,Women50Free
TGA,Noelani Malia DAY,Noelani Malia,DAY,21,Women50Free
THA,Jenjira SRISA - ARD,Jenjira,SRISA-ARD,29,Women50Free
TJK,Ekaterina BORDACHYOVA,Ekaterina,BORDACHYOVA,21,Women50Free
TLS,Imelda XIMENES BELO,Imelda,XIMENES BELO,25,Women50Free
TOG,Adele Sodalo Agnes GAITOU,Adele Sodalo Agnes,GAITOU,17,Women50Free
USA,Simone MANUEL,Simone,MANUEL,28,Women50Free
USA,Gretchen WALSH,Gretchen,WALSH,21,Women50Free
VAN,Loane RUSSET,Loane,RUSSET,18,Women50Free
VIN,Kennice Aphenie GREENE,Kennice Aphenie,GREENE,17,Women50Free
ZAM,Mia PHIRI,Mia,PHIRI,21,Women50Free
