Country Code,Full Name,First Name,Last Name,Age,Event
ARG,Agostina HEIN,Agostina,HEIN,16,Women400Free
AUS,Jamie Ann PERKINS,Jamie,PERKINS,19,Women400Free
AUS,Ariarne TITMUS,Ariarne,TITMUS,23,Women400Free
BEL,Valentine DUMONT,Valentine,DUMONT,24,Women400Free
BRA,Maria Fernanda DE OLIVEIRA DA SILVA COSTA,Maria Fernanda,DE OLIVEIRA DA SILVA COSTA,21,Women400Free
BRA,Gabrielle RONCATTO,Gabrielle,RONCATTO,26,Women400Free
CAN,Mary-Sophie HARVEY,Mary-Sophie,HARVEY,24,Women400Free
CAN,Summer MCINTOSH,Summer,MCINTOSH,17,Women400Free
CHN,Bingjie LI,Bingjie,LI,22,Women400Free
CHN,Yaxin LIU,Yaxin,LIU,25,Women400Free
FRA,Anastasiia KIRPICHNIKOVA,Anastasiia,KIRPICHNIKOVA,24,Women400Free
GER,Isabel GOSE,Isabel,GOSE,22,Women400Free
GER,Leonie MARTENS,Leonie,MARTENS,20,Women400Free
HUN,Ajna KESELY,Ajna,KESELY,22,Women400Free
ISV,Natalia Jean KUIPERS,Natalia Jean,KUIPERS,22,Women400Free
ITA,Simona QUADARELLA,Simona,QUADARELLA,25,Women400Free
JOR,Karin BELBEISI,Karin,BELBEISI,15,Women400Free
JPN,Waka KOBORI,Waka,KOBORI,23,Women400Free
NZL,Erika FAIRWEATHER,Erika,FAIRWEATHER,20,Women400Free
NZL,Eve THOMAS,Eve,THOMAS,23,Women400Free
USA,Katie LEDECKY,Katie,LEDECKY,27,Women400Free
USA,Paige MADDEN,Paige,MADDEN,25,Women400Free
UZB,Anastasiya ZELINSKAYA,Anastasiya,ZELINSKAYA,20,Women400Free
