Country Code,Full Name,First Name,Last Name,Age,Event
ARM,Varsenik MANUCHARYAN,Varsenik,MANUCHARYAN,21,Women100Fly
AUS,Emma MCKEON,Emma,MCKEON,30,Women100Fly
AUS,Alexandria PERKINS,Alexandria,PERKINS,24,Women100Fly
BEL,Roos VANOTTERDIJK,Roos,VANOTTERDIJK,19,Women100Fly
BIH,Lana PUDAR,Lana,PUDAR,18,Women100Fly
CAN,Margaret MACNEIL,Margaret,MACNEIL,24,Women100Fly
CAN,Rebecca SMITH,Rebecca,SMITH,24,Women100Fly
CHN,Yiting YU,Yiting,YU,18,Women100Fly
CHN,Yufei ZHANG,Yufei,ZHANG,26,Women100Fly
CZE,Barbora SEEMANOVA,Barbora,SEEMANOVA,24,Women100Fly
DEN,Helena Rosendahl BACH,Helena Rosendahl,BACH,24,Women100Fly
ESP,Laura CABANES GARZAS,Laura,CABANES GARZAS,18,Women100Fly
FRA,Marie WATTEL,Marie,WATTEL,27,Women100Fly
GBR,Keanna Louise MACINNES,Keanna Louise,MACINNES,22,Women100Fly
GEO,Ana NIZHARADZE,Ana,NIZHARADZE,15,Women100Fly
GER,Angelina KOHLER,Angelina,KOHLER,23,Women100Fly
GRE,Georgia DAMASIOTI,Georgia,DAMASIOTI,21,Women100Fly
GRE,Anna NTOUNTOUNAKI,Anna,NTOUNTOUNAKI,28,Women100Fly
IRL,Ellen WALSHE,Ellen,WALSHE,22,Women100Fly
ITA,Costanza COCCONCELLI,Costanza,COCCONCELLI,22,Women100Fly
ITA,Viola SCOTTO DI CARLO,Viola,SCOTTO DI CARLO,21,Women100Fly
JPN,Mizuki HIRAI,Mizuki,HIRAI,17,Women100Fly
JPN,Rikako IKEE,Rikako,IKEE,24,Women100Fly
NCA,Maria Victoria SCHUTZMEIER,Maria Victoria,SCHUTZMEIER,24,Women100Fly
NED,Tessa GIELE,Tessa,GIELE,21,Women100Fly
NZL,Vanessa Hazel OUWEHAND,Vanessa Hazel,OUWEHAND,24,Women100Fly
PAR,Luana ALONSO,Luana,ALONSO,20,Women100Fly
RSA,Erin GALLAGHER,Erin,GALLAGHER,25,Women100Fly
SEN,Oumy DIOP,Oumy,DIOP,20,Women100Fly
SWE,Louise HANSSON,Louise,HANSSON,27,Women100Fly
SWZ,Hayley HOY,Hayley,HOY,16,Women100Fly
USA,Torri HUSKE,Torri,HUSKE,21,Women100Fly
USA,Gretchen WALSH,Gretchen,WALSH,21,Women100Fly
